组别名称,笼号,动物编号,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24
80 mpk CsA,1,80 mpk CsA-1-0,19.52,20.08,19.2,19.6,20.42,19.64,20.13,19.38,18.93
80 mpk CsA,1,80 mpk CsA-1-1,21.53,22.18,21.62,21.75,22.51,22.08,22.52,21.42,21.04
80 mpk CsA,1,80 mpk CsA-1-2,21.18,21.96,22.44,21.8,22.61,22.32,22.19,23.21,21.09
80 mpk CsA,1,80 mpk CsA-1-3,21.82,21.82,21.7,21.66,21.94,21.57,21.62,22.12,22.02
80 mpk CsA,2,80 mpk CsA-2-0,21.04,21.26,21.01,22.17,21.79,21.58,20.62,19.20,18.62
80 mpk CsA,2,80 mpk CsA-2-1,20.36,20.36,19.32,20.32,20.56,21.38,20.54,19.99,20.16
80 mpk CsA,2,80 mpk CsA-2-2,20.76,21.53,21.14,21.75,21.28,20.38,21.36,21.01,20.28
80 mpk CsA,2,80 mpk CsA-2-3,19.18,19.55,19.44,20.06,19.51,21.62,19.86,19.55,19.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
100 mpk SH,1,100 mpk SH-1-0,20.99,19.37,21.03,20.94,21.62,21.40,20.41,20.22,19.68
100 mpk SH,1,100 mpk SH-1-1,20.87,21.64,21.3,22.02,21.50,20.94,19.55,19.96,19.66
100 mpk SH,1,100 mpk SH-1-2,20.54,21.02,21.35,21.34,21.72,21.23,19.32,18.50,18.74
100 mpk SH,1,100 mpk SH-1-3,21.68,22.03,22.3,23.05,22.56,21.36,20.32,19.40,19.25
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

实验名称：20251217-DSS-single_cell-1514+CsA
参数名称：体重
数据导出时间：2025-12-25 07:46:23
